wanikani	word	reading	sense 1	sense 2	sense 3	url
1	三人	さんにん	three people			http://jisho.org/word/%E4%B8%89%E4%BA%BA
1	大きさ	おおきさ	size, dimensions, volume			http://jisho.org/word/%E5%A4%A7%E3%81%8D%E3%81%95
2	天	てん	sky	heaven	God	http://jisho.org/word/%E5%A4%A9
2	入力	にゅうりょく	input, (data) entry	Input		http://jisho.org/word/%E5%85%A5%E5%8A%9B
2	６月	ろくがつ	June	sixth month of the lunar calendar	Rokugatsu	http://jisho.org/word/%EF%BC%96%E6%9C%88
2	目玉	めだま	eyeball	special feature, centerpiece, showpiece, drawcard	special program, loss leader	http://jisho.org/word/%E7%9B%AE%E7%8E%89
2	人々	ひとびと	people, men and women	each person, everybody		http://jisho.org/word/%E4%BA%BA%E3%80%85
2	４月	しがつ	April	fourth month in the lunar calendar		http://jisho.org/word/%EF%BC%94%E6%9C%88
2	５月	ごがつ	May	fifth month of the lunar calendar		http://jisho.org/word/%EF%BC%95%E6%9C%88
2	１月	いちがつ	January	first month of the lunar calendar		http://jisho.org/word/%EF%BC%91%E6%9C%88
2	２月	にがつ	February	second month of the lunar calendar		http://jisho.org/word/%EF%BC%92%E6%9C%88
2	１０月	じゅうがつ	October	tenth month of the lunar calendar		http://jisho.org/word/%EF%BC%91%EF%BC%90%E6%9C%88
2	水中	すいちゅう	underwater			http://jisho.org/word/%E6%B0%B4%E4%B8%AD
2	５０	ごじゅう	fifty, 50			http://jisho.org/word/%EF%BC%95%EF%BC%90
2	玉ねぎ	たまねぎ	onion (Allium cepa)			http://jisho.org/word/%E7%8E%89%E3%81%AD%E3%81%8E
2	子犬	こいぬ	puppy	small dog		http://jisho.org/word/%E5%AD%90%E7%8A%AC
2	歳	さい	... years old, age (of) ...			http://jisho.org/word/%E6%AD%B3
2	１０００	いっせん	1,000, one thousand			http://jisho.org/word/%EF%BC%91%EF%BC%90%EF%BC%90%EF%BC%90
2	１０００円	せんえん	1000 yen			http://jisho.org/word/%EF%BC%91%EF%BC%90%EF%BC%90%EF%BC%90%E5%86%86
2	白人	はくじん	white person, Caucasian	beginner, amateur	unlicensed prostitute	http://jisho.org/word/%E7%99%BD%E4%BA%BA
2	十六	じゅうろく	16, sixteen			http://jisho.org/word/%E5%8D%81%E5%85%AD
